Name,Developer,Version,Loader,Enabled,FileName,Path
Catalogue,MrCrayfish,1.11.2,NeoForge,true,catalogue-neoforge-1.21.1-1.11.2.jar,C:\Users\Lucky56\github\modpacks\mods\catalogue-neoforge-1.21.1-1.11.2.jar
Caverns & Chasms,Team Abnormals,3.0.0,NeoForge,true,caverns_and_chasms-1.21.1-3.0.0.jar,C:\Users\Lucky56\github\modpacks\mods\caverns_and_chasms-1.21.1-3.0.0.jar
Chalk,mortuusars,1.6.12,"NeoForge, Forge",true,chalk-1.6.12.jar,C:\Users\Lucky56\github\modpacks\mods\chalk-1.6.12.jar
ChatAnimation,Ezzenix,1.2.0,NeoForge,true,chatanimation-neoforge-1.2.0+mc1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\chatanimation-neoforge-1.2.0+mc1.21.1.jar
Chat Patches,OBro1961,211.6.9-secure,Fabric,true,chatpatches-211.6.9-secure.jar,C:\Users\Lucky56\github\modpacks\mods\chatpatches-211.6.9-secure.jar
Chat Heads,"dzwdz, Fourmisain",0.15.2,NeoForge,true,chat_heads-0.15.2-neoforge-1.21.jar,C:\Users\Lucky56\github\modpacks\mods\chat_heads-0.15.2-neoforge-1.21.jar
Chipped,"Alex Nijjar, Grimbop, Kekie6, ThatGravyBoat",4.0.2,NeoForge,true,chipped-neoforge-1.21.1-4.0.2.jar,C:\Users\Lucky56\github\modpacks\mods\chipped-neoforge-1.21.1-4.0.2.jar
chunksending mod,Someaddon,2.9,NeoForge,true,chunksending-1.21-2.9.jar,C:\Users\Lucky56\github\modpacks\mods\chunksending-1.21-2.9.jar
Chunks Fade In,kerudion (koteinik),3.0.23-1.21,NeoForge,false,chunksfadein-neoforge-3.0.23-1.21.jar.disabled,C:\Users\Lucky56\github\modpacks\mods\chunksfadein-neoforge-3.0.23-1.21.jar.disabled
Chunky,pop4959,1.4.23,NeoForge,true,Chunky-NeoForge-1.4.23.jar,C:\Users\Lucky56\github\modpacks\mods\Chunky-NeoForge-1.4.23.jar
Cinch's Missing Blocks,Cinchtail,3.2,NeoForge,true,cinchsmissingblocks-[NeoForge-1.21.1]-3.2.jar,C:\Users\Lucky56\github\modpacks\mods\cinchsmissingblocks-[NeoForge-1.21.1]-3.2.jar
Citadel,Alexthe666,2.7.0,NeoForge,true,citadel-2.7.0-1.21.1.jar,C:\Users\Lucky56\github\modpacks\mods\citadel-2.7.0-1.21.1.jar
